,exp:sugar,exp:sugar+geosmin
FDG,0.6944444444444443,0.701388888888889
FMin,0.3020833333333333,0.27083333333333337
G2N-1,0.3333333333333333,0.3541666666666667
TH-VUM,0.375,0.3854166666666667
TPN4,0.5625,0.5138888888888888
aDN1,0.7083333333333334,0.6770833333349999
aDT6,0.640625,0.6458333333333334
aSG1,0.6705555555555556,0.6458333333333334
"aSG2, pSG1",0.6319444444444444,0.6388888888888888
aSG4,0.6458333333333333,0.625
aSG7,0.6428571428571427,0.6160714285714286
amulet,0.6666666666666667,0.6875
aster,0.6319444444444444,0.6319444444444445
asteroid,0.681875,0.6770833333333333
balloon,0.6875,0.7083333333333333
bamboo,0.7291666666666667,0.7083333333333334
basket,0.625,0.6875
bay,0.6458333333333333,0.625
"bluebell, bluebird",0.7291666666666667,0.6875
"bluebell, foxglove, snail",0.7025,0.65625
bobber,0.6041666666666667,0.6041666666666667
bower,0.6875,0.65625
box,0.7291666666666667,0.6875
braces,0.75,0.7083333333333333
bract,0.4166666666666667,0.40972222222222215
bridle,0.6591666666666667,0.65625
brontosaraus,0.625,0.6458333333333333
broom,0.75,0.7291666666666667
buddy,0.6597222222222222,0.6666666666666666
cantaloupe,0.66,0.625
clavicle,0.33333333333333337,0.39583333333333337
"clavicle, FMIn, G2N-1",0.3125,0.3333333333333333
"cleaver, usnea",0.5,0.45833333333333337
clubround,0.625,0.6458333333333333
"clubround, clubround2",0.6875,0.6979166666666666
"cowboy, gallinule",0.6875,0.696666666666667
coy,0.6516666666666666,0.6354166666666666
crab,0.6527777777777778,0.6597222222222222
cradle,0.6458333333333334,0.6601666666666667
damsel,0.7083333333333333,0.7083333333333333
diatom,0.701388888888889,0.6805555555555557
"diatom, sundrop",0.6875,0.7083333333333333
doublescoop,0.6458333333333333,0.6041666666666666
earmuff,0.75,0.7083333333333333
eiffel,0.625,0.6145833333333333
fluff,0.6458333333333333,0.6666666666666667
foxglove,0.6458333333333333,0.65625
"foxglove, snail",0.6666666666666667,0.6666666666666666
fudog,0.7175,0.6458333333333333
gallinule,0.7160416666666669,0.6875
"gallinule, trogon",0.6875,0.766666666666667
gazebo,0.6875,0.6458333333333333
genie,0.5208333333333334,0.5277777777777778
gnome,0.6666666666666667,0.6041666666666667
good dog,0.625,0.5833333333333334
"good dog, handup",0.6458333333333333,0.6458333333333333
gumdrop,0.7291666666666667,0.6875
handle,0.6575,0.6458333333333333
handup,0.6458333333333333,0.6458333333333333
haystack,0.6875,0.6666666666666667
homer,0.6666666666666666,0.6354166666666666
horn,0.694875,0.696666666666666
horntail,0.6770833333333334,0.6666666666666667
horseshoe,0.673611111111111,0.638888888888889
horseshoe2,0.6875,0.65625
hound,0.6458333333333333,0.6666666666666667
hyacinth,0.6875,0.696666666666667
"hydrangea, kelp",0.6789270833333334,0.6637499999999998
indigo,0.6510416666666667,0.6666666666666665
justice,0.7291666666666666,0.6805555555555555
kitty,0.7083333333333333,0.703125
knees,0.7291666666666667,0.6875
kokopelli,0.6875,0.7083333333333333
kubo,0.6458333333333333,0.6666666666666667
landslide,0.6458333333333333,0.6666666666666667
linea,0.6458333333333333,0.6458333333333333
lion,0.6875,0.6458333333333333
loch ness,0.6774999999999999,0.6527777777777778
mandala,0.6666666666666666,0.6666666666666666
marge,0.7083333333333333,0.6875
mesa,0.6909722222222222,0.6493055555555557
meteor,0.6875,0.6770833333333334
mime,0.6458333333333333,0.625
mist,0.65625,0.6458333333333334
moor,0.6566666666666666,0.6388888888888888
mothership,0.7291666666666667,0.6875
mute,0.6458333333333333,0.625
nagini,0.625,0.6458333333333333
nori,0.5833333333333334,0.625
"nori, wafflecone",0.6666666666666667,0.6458333333333334
oink,0.5833333333333333,0.6458333333333333
oinkT,0.625,0.6458333333333334
oinkU,0.6041666666666667,0.6458333333333333
oval,0.6875,0.6666666666666666
pampa,0.66,0.625
peacock,0.6979166666666666,0.65625
peafowl,0.6737500000000001,0.6666666666666667
peahen,0.701666666666667,0.6875
"peep, trumpet",0.694875,0.696666666666666
phantom,0.6527777777777778,0.6527777777777778
planter,0.6875,0.7291666666666667
portal,0.6458333333333333,0.6666666666666667
pringle,0.6527777777777778,0.6319444444444445
puddle,0.65625,0.6458333333333333
rattle,0.25,0.2604166666666667
rocket,0.6736111111111112,0.673611111111111
rose,0.6666666666666666,0.6979166666666666
roundup,0.3375,0.3375
ruby,0.65625,0.65625
seagull,0.7083333333333333,0.6458333333333333
shark,0.6666666666666667,0.6458333333333333
sink and sync,0.6875,0.696666666666667
slink,0.6666666666666667,0.6041666666666667
snake,0.6875,0.6666666666666666
spirit,0.6666666666666667,0.6875
spray,0.6791666666666684,0.7083333333333334
stand,0.6458333333333333,0.6458333333333333
sullivan,0.6041666666666666,0.6458333333333333
sundrop,0.65625,0.6458333333333333
tentacular,0.66,0.625
tinctoria,0.6875,0.66666666666667
tophat,0.6145833333333333,0.625
trident,0.6505555555555554,0.6319444444444444
trogon,0.6516666666666666,0.6354166666666666
tulip,0.663611111111111,0.6597222222222222
tundra,0.6597222222222222,0.7013888888888888
turner,0.65625,0.6458333333333334
twirl,0.6666666666666667,0.6875
usnea,0.25,0.29166666666666663
vice,0.6458333333333333,0.625
vixen,0.625,0.6458333333333334
wafflecone,0.6697222222222222,0.6527777777777778
weaver,0.6875,0.6666666666666666
web,0.6875,0.673611111111111
whisker,0.671875,0.6562500000000008
willow,0.701666666666667,0.6875
control,0.675,0.675
