,exp:sugar,exp:sugar+geosmin
FDG,0.6142241379310341,0.2703703703703702
FMin,0.3124999999999995,0.15140740740740757
G2N-1,0.6458333333333334,0.3333333333333333
TH-VUM,0.4375,0.27083333333333337
TPN4,0.5277777777777778,0.2916666666666667
aDN1,0.6927083333333334,0.42708333333333304
aDT6,0.625,0.27083333333333337
aSG1,0.6316666666666667,0.3569444444333321
"aSG2, pSG1",0.5972222222222222,0.3125
aSG4,0.6041666666666666,0.27083333333333337
aSG7,0.6436904761904761,0.3482142857142857
amulet,0.7291666666666667,0.375
aster,0.6041666666666666,0.3194444444444444
asteroid,0.6468750000000001,0.3874999999999992
balloon,0.6666666666666667,0.39583333333333337
bamboo,0.7070833333333333,0.40416666666666834
basket,0.6458333333333333,0.3541666666666667
bay,0.6041666666666667,0.27083333333333337
"bluebell, bluebird",0.7083333333333333,0.375
"bluebell, foxglove, snail",0.6975,0.41499999999998305
bobber,0.625,0.35416666666666663
bower,0.6458333333333334,0.33333333333333337
box,0.72,0.32
braces,0.625,0.35416666666666663
bract,0.6527777777777778,0.3819444444444445
bridle,0.6484374999999999,0.3365624999999955
brontosaraus,0.6041666666666667,0.3333333333333333
broom,0.7083333333333334,0.4375
buddy,0.638888888888889,0.3541666666666667
cantaloupe,0.6041666666666667,0.22916666666666669
clavicle,0.6041666666666667,0.29166666666666663
"clavicle, FMIn, G2N-1",0.25,0.10416666666666666
"cleaver, usnea",0.6458333333333334,0.3541666666666667
clubround,0.6458333333333333,0.41666666666666663
"clubround, clubround2",0.6875,0.36458333333333337
"cowboy, gallinule",0.68333333333333,0.375
coy,0.6354166666666666,0.3125
crab,0.6319444444444444,0.3541666666666667
cradle,0.6291666666666667,0.3314999999999867
damsel,0.6666666666666667,0.375
diatom,0.6516666666666667,0.3527777777777789
"diatom, sundrop",0.6875,0.38333333333333
doublescoop,0.6458333333333333,0.4166666666666667
earmuff,0.6666666666666667,0.4583333333333333
eiffel,0.6458333333333334,0.29166666666666663
fluff,0.6725,0.375
foxglove,0.6458333333333333,0.375
"foxglove, snail",0.6666666666666667,0.375
fudog,0.6875,0.4133333333333
gallinule,0.6920833333333333,0.39479166666666715
"gallinule, trogon",0.7075,0.416666666666666
gazebo,0.6458333333333333,0.375
genie,0.4375,0.2916666666666667
gnome,0.6458333333333333,0.35416666666666663
good dog,0.6458333333333334,0.3333333333333333
"good dog, handup",0.6666666666666667,0.4166666666666667
gumdrop,0.7083333333333333,0.375
